Trial,E-Greedy Cumulative Reward,Thompson Sampling Cumulative Reward
1,0,0
2,1,0
3,1,1
4,1,2
5,1,2
6,2,3
7,2,4
8,3,4
9,3,5
10,3,6
11,3,7
12,3,8
13,3,8
14,3,8
15,3,8
16,3,8
17,3,8
18,3,9
19,3,9
20,3,10
21,3,11
22,3,12
23,4,12
24,4,12
25,4,13
26,4,14
27,4,15
28,4,15
29,4,15
30,4,16
31,4,17
32,4,18
33,4,18
34,4,18
35,4,18
36,4,19
37,5,20
38,5,20
39,5,21
40,6,21
41,6,22
42,6,23
43,6,24
44,6,25
45,6,25
46,6,26
47,6,27
48,6,28
49,6,29
50,6,30
51,6,31
52,6,31
53,6,31
54,6,32
55,6,33
56,6,34
57,6,34
58,6,34
59,6,35
60,6,36
61,7,36
62,7,37
63,7,37
64,7,37
65,7,38
66,7,38
67,7,38
68,7,39
69,7,40
70,7,40
71,7,40
72,8,40
73,8,40
74,8,41
75,9,42
76,9,42
77,9,42
78,9,43
79,9,43
80,9,43
81,9,44
82,9,44
83,9,45
84,9,45
85,9,45
86,9,46
87,9,47
88,9,48
89,9,49
90,9,50
91,9,51
92,9,51
93,9,52
94,9,53
95,9,54
96,9,55
97,9,55
98,9,56
99,9,57
100,9,58
101,9,58
102,9,59
103,9,59
104,9,59
105,9,60
106,9,61
107,9,62
108,9,62
109,9,63
110,9,64
111,9,64
112,9,64
113,9,65
114,9,66
115,9,67
116,9,68
117,9,68
118,9,69
119,9,69
120,9,70
121,9,71
122,9,72
123,9,72
124,9,72
125,10,73
126,11,73
127,11,74
128,11,74
129,11,75
130,11,76
131,11,76
132,11,76
133,11,77
134,11,77
135,11,77
136,11,78
137,11,78
138,11,79
139,11,80
140,11,80
141,11,80
142,11,81
143,11,82
144,11,83
145,11,84
146,11,85
147,11,85
148,11,85
149,11,86
150,11,86
151,12,87
152,12,88
153,12,89
154,12,90
155,12,90
156,12,91
157,13,91
158,13,92
159,13,93
160,14,93
161,14,94
162,14,95
163,14,96
164,14,96
165,14,97
166,14,98
167,14,99
168,14,100
169,14,101
170,14,101
171,14,101
172,14,102
173,14,102
174,14,103
175,14,104
176,14,104
177,14,104
178,15,104
179,15,105
180,15,106
181,15,106
182,15,107
183,15,108
184,15,109
185,15,110
186,15,111
187,15,112
188,15,112
189,15,112
190,16,113
191,16,114
192,17,115
193,17,116
194,17,117
195,17,117
196,17,118
197,17,119
198,17,120
199,17,120
200,17,120
201,17,121
202,17,122
203,17,123
204,17,123
205,17,124
206,18,124
207,18,125
208,18,125
209,18,126
210,18,127
211,18,128
212,18,129
213,18,130
214,18,131
215,18,132
216,18,133
217,18,134
218,18,134
219,18,135
220,18,136
221,18,137
222,18,137
223,18,138
224,19,138
225,19,139
226,19,140
227,19,140
228,19,141
229,19,142
230,19,142
231,19,143
232,19,144
233,19,144
234,19,145
235,19,145
236,19,146
237,19,147
238,19,148
239,19,149
240,19,149
241,19,150
242,19,151
243,19,152
244,19,152
245,19,153
246,19,153
247,19,154
248,19,154
249,19,154
250,19,155
251,19,156
252,19,157
253,19,158
254,19,159
255,19,160
256,19,161
257,19,161
258,19,162
259,19,163
260,20,164
261,20,164
262,20,165
263,20,166
264,20,166
265,21,167
266,21,168
267,21,168
268,21,169
269,22,170
270,22,171
271,22,172
272,22,173
273,22,174
274,22,175
275,22,176
276,22,177
277,22,177
278,22,178
279,22,179
280,22,180
281,22,181
282,22,182
283,23,183
284,23,184
285,23,185
286,23,186
287,23,187
288,23,188
289,23,189
290,24,189
291,24,190
292,24,191
293,24,191
294,24,191
295,25,192
296,25,193
297,25,194
298,25,195
299,25,195
300,25,196
301,25,197
302,25,198
303,26,199
304,26,200
305,26,201
306,26,202
307,26,203
308,26,204
309,26,204
310,26,205
311,26,206
312,26,206
313,26,207
314,26,208
315,26,209
316,26,210
317,26,211
318,26,212
319,27,213
320,27,214
321,27,215
322,27,215
323,27,215
324,27,216
325,27,217
326,27,218
327,27,219
328,27,220
329,27,221
330,27,221
331,27,221
332,27,222
333,27,223
334,28,224
335,28,225
336,28,226
337,29,227
338,29,228
339,29,228
340,29,228
341,29,229
342,30,229
343,30,230
344,30,231
345,30,231
346,30,231
347,30,232
348,30,233
349,30,233
350,30,234
351,30,235
352,31,236
353,31,237
354,32,238
355,32,239
356,32,240
357,32,241
358,32,242
359,32,243
360,32,244
361,32,245
362,32,246
363,32,247
364,32,248
365,32,249
366,32,250
367,32,251
368,32,252
369,33,253
370,33,254
371,33,255
372,33,255
373,33,255
374,33,255
375,33,256
376,34,256
377,34,257
378,34,257
379,34,257
380,34,258
381,34,258
382,34,259
383,34,259
384,34,260
385,34,261
386,34,262
387,34,263
388,34,263
389,34,264
390,34,264
391,34,265
392,34,266
393,34,266
394,34,266
395,34,266
396,34,267
397,34,268
398,34,269
399,34,269
400,34,270
401,34,271
402,35,272
403,35,273
404,35,273
405,35,273
406,35,274
407,35,274
408,35,275
409,35,275
410,35,276
411,35,277
412,35,278
413,35,279
414,35,279
415,35,280
416,36,281
417,37,282
418,37,282
419,37,282
420,37,282
421,37,283
422,37,284
423,37,285
424,37,285
425,37,285
426,37,286
427,37,287
428,37,288
429,37,289
430,37,290
431,37,291
432,37,292
433,37,293
434,37,294
435,37,294
436,37,294
437,37,295
438,37,295
439,37,296
440,37,297
441,37,298
442,37,299
443,37,300
444,37,301
445,38,302
446,38,302
447,38,303
448,38,304
449,38,304
450,38,305
451,39,306
452,39,306
453,39,307
454,39,308
455,39,309
456,39,310
457,39,311
458,39,312
459,39,313
460,39,314
461,39,314
462,39,315
463,39,315
464,39,315
465,39,315
466,39,316
